epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
67,472.744,0.22587,0.6681,0.97414,1.15784,3.466e-05,3.466e-05,3.466e-05
68,480.363,0.19654,0.65517,0.96552,1.18604,3.367e-05,3.367e-05,3.367e-05
69,487.26,0.22109,0.64655,0.96121,1.20361,3.268e-05,3.268e-05,3.268e-05
70,493.963,0.20821,0.67241,0.95259,1.23169,3.169e-05,3.169e-05,3.169e-05
71,501.89,0.2565,0.65517,0.94828,1.19946,3.07e-05,3.07e-05,3.07e-05
72,509.931,0.20839,0.65517,0.94828,1.18213,2.971e-05,2.971e-05,2.971e-05
73,517.9,0.21928,0.64655,0.94828,1.22266,2.872e-05,2.872e-05,2.872e-05
74,524.65,0.22382,0.65517,0.94828,1.26392,2.773e-05,2.773e-05,2.773e-05
75,532.968,0.20498,0.66379,0.9569,1.23584,2.674e-05,2.674e-05,2.674e-05
76,540.999,0.19574,0.65948,0.9569,1.23315,2.575e-05,2.575e-05,2.575e-05
77,548.311,0.18426,0.65086,0.9569,1.22949,2.476e-05,2.476e-05,2.476e-05
78,555.945,0.19014,0.65948,0.95259,1.20459,2.377e-05,2.377e-05,2.377e-05
79,563.351,0.22349,0.65948,0.95259,1.18726,2.278e-05,2.278e-05,2.278e-05
80,571.161,0.19433,0.6681,0.96121,1.21777,2.179e-05,2.179e-05,2.179e-05
81,577.799,0.18309,0.66379,0.9569,1.2168,2.08e-05,2.08e-05,2.08e-05
82,584.572,0.16828,0.65948,0.96552,1.23291,1.981e-05,1.981e-05,1.981e-05
83,591.187,0.17792,0.6681,0.96121,1.224,1.882e-05,1.882e-05,1.882e-05
84,597.839,0.17818,0.65517,0.9569,1.22119,1.783e-05,1.783e-05,1.783e-05
85,604.919,0.19763,0.65948,0.96121,1.21472,1.684e-05,1.684e-05,1.684e-05
86,612.717,0.20562,0.65086,0.96121,1.20349,1.585e-05,1.585e-05,1.585e-05
87,620.603,0.16836,0.65517,0.9569,1.21619,1.486e-05,1.486e-05,1.486e-05
88,628.193,0.17013,0.65948,0.96121,1.19788,1.387e-05,1.387e-05,1.387e-05
89,634.829,0.16589,0.6681,0.96552,1.20068,1.288e-05,1.288e-05,1.288e-05
90,642.596,0.1869,0.65948,0.96552,1.19421,1.189e-05,1.189e-05,1.189e-05
91,652.747,0.2092,0.6681,0.96552,1.20081,1.09e-05,1.09e-05,1.09e-05
92,659.71,0.18089,0.66379,0.9569,1.20447,9.91e-06,9.91e-06,9.91e-06
93,666.539,0.18514,0.65948,0.96552,1.21301,8.92e-06,8.92e-06,8.92e-06
94,673.18,0.17528,0.66379,0.96552,1.19507,7.93e-06,7.93e-06,7.93e-06
95,680.913,0.22373,0.65948,0.96121,1.19592,6.94e-06,6.94e-06,6.94e-06
96,687.862,0.18003,0.65517,0.9569,1.19531,5.95e-06,5.95e-06,5.95e-06
97,694.44,0.15685,0.65948,0.96552,1.20422,4.96e-06,4.96e-06,4.96e-06
98,701.152,0.19012,0.66379,0.96552,1.18726,3.97e-06,3.97e-06,3.97e-06
99,707.679,0.18097,0.6681,0.96552,1.19495,2.98e-06,2.98e-06,2.98e-06
100,714.244,0.15917,0.65948,0.96552,1.19641,1.99e-06,1.99e-06,1.99e-06
